Category,Value
Axe Real Found,False
Axe Drawing Found,True
Screwdriver Found,False
Pistol Found,False
Knife Found,False
Sledgehammer Found,False
Clues Triggered,1
Clues Found by Player,1
Alternative Notches Played,0
Murder Selected,Draggable_Murderer_Richard
Murder Weapon Selected,Draggable_Weapon_AxeDrawing
Time Spent in Bathroom,0
Time Spent in Main Porch,0
Time Spent in Pantry,0
Time Spent in Kitchen,7
Time Spent in Children's Room,0
Time Spent in Kitchen Porch,0
Time Spent in Living Room,36
Time Spent in Basement,0
Time Spent in Upstairs Corridor,0
Time Spent in TV Room,0
Time Spent in Stairs (1st Floor),2
Time Spent in Master Bedroom,0
Time Spent in Stairs (Basement),0
Time Spent in Bathroom (Upstairs),0
